Combine,population
"Johnstown, NY",8743
"Fairmount, NY",10224
"Syracuse, NY",145170
"Clear Lake, IA",7777
"Mason City, IA",28079
"Spencer, IA",11233
"Charles City, IA",7652
"Zeeland, MI",5504
"Oneida, NY",11393
"Batavia, NY",15465
"Buffalo, NY",261310
"Lackawanna, NY",18141
"North Sioux City, SD",2530
"Fayette, IA",1338
"West Union, IA",2486
"Amsterdam, NY",18620
"Canandaigua, NY",10545
"Geneva, NY",13261
"Rensselaer, NY",9392
"Schenectady, NY",66135
"Sioux Rapids, IA",775
"Storm Lake, IA",10600
"Rolfe, IA",584
"Dakota City, IA",843
"Humboldt, IA",4690
"Hampton, IA",4461
"Sheffield, IA",1172
"Sumner, IA",2028
"Waverly, IA",9874
"Oneonta, NY",13901
"O'Neill, NE",3705
"Wixom, MI",13498
"Lawrence, MA",76377
"Lynn, MA",90329
"Salem, MA",41340
"Beverly, MA",39502
"Gloucester, MA",28789
"Newburyport, MA",17416
"Peabody, MA",51251
"Bloomfield, NE",1028
"Mount Pleasant, WI",26197
"Albany, NY",97856
"Cohoes, NY",16168
"Cortland, NY",19204
"Williamston, MI",3854
"Wayland, MI",4079
"Ponca, NE",961
"North Adams, MA",13708
"Norwich, NY",7190
"Everett, MA",41667
"Lowell, MA",106519
"Marlborough, MA",38499
"Waltham, MA",60632
"Cambridge, MA",105162
"Malden, MA",59450
"Medford, MA",56173
"Melrose, MA",26983
"Newton, MA",85146
"Worcester, MA",181045
"Fitchburg, MA",40318
"Gardner, MA",20228
"Leominster, MA",40759
"Dubuque, IA",57637
"Fort Dodge, IA",25206
"Waterloo, IA",68406
"Evansdale, IA",4751
"Ithaca, NY",30014
"Corning, NY",11183
"Hornell, NY",8563
"Dunkirk, NY",12563
"Jamestown, NY",31146
"Sioux City, IA",82684
"Lake City, IA",1727
"Webster City, IA",8070
"Eldora, IA",2732
"Northampton, MA",28549
"Olean, NY",14452
"Salamanca, NY",5815
"Hudson, NY",6713
"Boston, MA",617594
"Chelsea, MA",35177
"Revere, MA",51755
"Neligh, NE",1599
"Ypsilanti, MI",19435
"Binghamton, NY",47376
"Quincy, MA",92271
"Chicopee, MA",55298
"Westfield, MA",41094
"West Springfield, MA",28391
"Holyoke, MA",39880
"Springfield, MA",153060
"Brockton, MA",93810
"Belle Plaine, IA",2534
"Shellsburg, IA",983
"Vinton, IA",5257
"Cedar Rapids, IA",126326
"Elmira, NY",29200
"Albion, PA",1516
"Corry, PA",6605
"Cranesville, PA",638
"Edinboro, PA",6438
"Elgin, PA",218
"Erie, PA",101786
"Girard, PA",3104
"Lake City, PA",3031
"McKean, PA",388
"Mill Village, PA",412
"North East, PA",4294
"Platea, PA",430
"Union City, PA",3320
"Waterford, PA",1517
"Wattsburg, PA",403
"Wesleyville, PA",3341
"Onawa, IA",2998
"Carroll, IA",10103
"Manning, IA",1500
"Jefferson, IA",4345
"Kingston, NY",23893
"Chicago, IL",2695598
"Campton Hills, IL",11131
"Attleboro, MA",43593
"Fall River, MA",88857
"Fairview, NY",5515
"Beacon, NY",15541
"Poughkeepsie, NY",32736
"Oakland, NE",1244
"East Hartford, CT",51252
"Glastonbury Center, CT",7387
"Hazardville, CT",4599
"Kensington, CT",8459
"Crystal Lake, CT",1945
"Clinton, IA",26885
"East Brooklyn, CT",1638
"Alba, PA",157
"Athens, PA",3367
"Burlington, PA",156
"Canton, PA",1976
"Le Raysville, PA",290
"Monroe, PA",554
"New Albany, PA",356
"Rome, PA",441
"Sayre, PA",5587
"South Waverly, PA",1027
"Sylvania, PA",219
"Towanda, PA",2919
"Troy, PA",1354
"Wyalusing, PA",596
"Bradford, PA",8770
"Eldred, PA",825
"Kane, PA",3730
"Lewis Run, PA",617
"Mount Jewett, PA",919
"Port Allegany, PA",2157
"Smethport, PA",1655
"Harlan, IA",5106
"Grinnell, IA",9218
"Iowa City, IA",67862
"Eastlake, OH",18577
"Grand River, OH",399
"Kirtland, OH",6866
"Kirtland Hills, OH",646
"Lakeline, OH",226
"Madison, OH",3184
"Mentor, OH",47159
"Mentor-On-The-Lake, OH",7443
"North Perry, OH",893
"Painesville, OH",19563
"Perry, OH",1663
"Timberlake, OH",675
"Waite Hill, OH",471
"Wickliffe, OH",12750
"Willoughby, OH",22268
"Willoughby Hills, OH",9485
"Willowick, OH",14171
"Blooming Valley, PA",337
"Cambridge Springs, PA",2595
"Centerville, PA",218
"Cochranton, PA",1136
"Conneaut Lake, PA",653
"Conneautville, PA",774
"Hydetown, PA",526
"Linesville, PA",1040
"Meadville, PA",13388
"Saegertown, PA",997
"Spartansburg, PA",305
"Springboro, PA",477
"Titusville, PA",5601
"Townville, PA",323
"Venango, PA",239
"Woodcock, PA",157
"North Bend, NE",1177
"Scribner, NE",857
"Harbor View, OH",123
"Maumee, OH",14286
"Oregon, OH",20291
"Ottawa Hills, OH",4517
"Toledo, OH",287208
"Bryan, OH",8545
"Darien, CT",20732
"Georgetown, CT",1805
"Factoryville, PA",1158
"Laceyville, PA",379
"Meshoppen, PA",563
"Nicholson, PA",767
"Tunkhannock, PA",1836
"Durham, CT",2933
"East Hampton, CT",2691
"Higganum, CT",1698
"East Haven, CT",29257
"Middletown, NY",28086
"Newburgh, NY",28866
"Port Jervis, NY",8828
"Berea, OH",19093
"Bratenahl, OH",1197
"Brecksville, OH",13656
"Broadview Heights, OH",19400
"Brooklyn, OH",11169
"Brooklyn Heights, OH",1543
"Brook Park, OH",19212
"Chagrin Falls, OH",4113
"Cleveland, OH",396815
"Cleveland Heights, OH",46121
"Cuyahoga Heights, OH",638
"East Cleveland, OH",17843
"Euclid, OH",48920
"Fairview Park, OH",16826
"Garfield Heights, OH",28849
"Gates Mills, OH",2270
"Glenwillow, OH",923
"Highland Heights, OH",8345
"Hunting Valley, OH",705
"Independence, OH",7133
"Lakewood, OH",52131
"Linndale, OH",179
"Lyndhurst, OH",14001
"Maple Heights, OH",23138
"Mayfield, OH",3460
"Mayfield Heights, OH",19155
"Middleburg Heights, OH",15946
"Moreland Hills, OH",3320
"Johnsonburg, PA",2483
"Ridgway, PA",4078
"Saint Marys, PA",13070
"Tionesta, PA",483
"Emlenton, PA",625
"Bowling Green, OH",30028
"Northwood, OH",5265
"Perrysburg, OH",20623
"Rossford, OH",6293
"Driftwood, PA",67
"Emporium, PA",2073
"Matamoras, PA",2469
"Duboistown, PA",1205
"Hughesville, PA",2128
"Jersey Shore, PA",4361
"Montgomery, PA",1579
"Montoursville, PA",4615
"Muncy, PA",2477
"Picture Rocks, PA",678
"Salladasburg, PA",238
"South Williamsport, PA",6379
"Williamsport, PA",29381
"Fullerton, NE",1307
"Genoa, NE",1003
"Amherst, OH",12021
"Avon, OH",21193
"Avon Lake, OH",22581
"Elyria, OH",54533
"Lorain, OH",64097
"North Ridgeville, OH",29465
"Sheffield, OH",3982
"Sheffield Lake, OH",9137
"Indianola, IA",14782
"Winterset, IA",5190
"Oskaloosa, IA",11463
"Lordstown, OH",3417
"Warren, OH",41557
"Fremont, OH",16734
"Bellevue, OH",8202
"Orangeville, PA",197
"Clark, PA",640
"Farrell, PA",5111
"Fredonia, PA",502
"Greenville, PA",5919
"Grove City, PA",8322
"Fairchance, PA",1975
"Fayette City, PA",596
"Markleysburg, PA",284
"Masontown, PA",3450
"Newell, PA",541
"Ohiopyle, PA",59
"Perryopolis, PA",1784
"Point Marion, PA",1159
"Smithfield, PA",875
"South Connellsville, PA",1970
"Uniontown, PA",10372
"Vanderbilt, PA",476
"Philadelphia, PA",1526006
"London, OH",9904
"Abbottstown, PA",1011
"Arendtsville, PA",952
"Bendersville, PA",641
"Biglerville, PA",1200
"Bonneauville, PA",1800
"Carroll Valley, PA",3876
"East Berlin, PA",1521
"Fairfield, PA",507
"Gettysburg, PA",7620
"Littlestown, PA",4434
"McSherrystown, PA",3038
"New Oxford, PA",1783
"York Springs, PA",833
"Aldan, PA",4152
"Brookhaven, PA",8006
"Chester, PA",33972
"Chester Heights, PA",2531
"Clifton Heights, PA",6652
"Collingdale, PA",8786
"Colwyn, PA",2546
"Darby, PA",10687
"East Lansdowne, PA",2668
"Eddystone, PA",2410
"Folcroft, PA",6606
"Glenolden, PA",7153
"Lansdowne, PA",10620
"Marcus Hook, PA",2397
"Media, PA",5327
"Millbourne, PA",1159
"Morton, PA",2669
"Norwood, PA",5890
"Parkside, PA",2328
"Prospect Park, PA",6454
"Ridley Park, PA",7002
"Rose Valley, PA",913
"Rutledge, PA",784
"Sharon Hill, PA",5697
"Swarthmore, PA",6194
"Trainer, PA",1828
"Upland, PA",3239
"Yeadon, PA",11443
"Fairdale, PA",2059
"Carmichaels, PA",483
"Clarksville, PA",230
"Greensboro, PA",260
"Jefferson, PA",270
"Rices Landing, PA",463
"Waynesburg, PA",4176
"Belleville, KS",1991
"Washington, KS",1131
"Phillipsburg, KS",2581
"Hiawatha, KS",3172
"Horton, KS",1776
"Sabetha, KS",2571
"Seneca, KS",1991
"Lindenwold, NJ",17613
"Bellmawr, NJ",11583
"Hermitage, PA",16220
"Jackson Center, PA",224
"Jamestown, PA",617
"Mercer, PA",2002
"New Lebanon, PA",188
"South Bethlehem, PA",481
"Callensburg, PA",207
"Clarion, PA",5276
"East Brady, PA",942
"Ashley, PA",2790
"Avoca, PA",2661
"Conyngham, PA",1914
"Courtdale, PA",732
"Dallas, PA",2804
"Dupont, PA",2711
"Duryea, PA",4917
"Edwardsville, PA",4816
"Exeter, PA",5652
"Forty Fort, PA",4214
"Freeland, PA",3531
"Harveys Lake, PA",2791
"Hazleton, PA",25340
"Hughestown, PA",1392
"Jeddo, PA",98
"Kingston, PA",13182
"Laflin, PA",1487
"Larksville, PA",4480
"Laurel Run, PA",500
"Luzerne, PA",2845
"Nanticoke, PA",10465
"Nescopeck, PA",1583
"New Columbus, PA",227
"Nuangola, PA",679
"Penn Lake Park, PA",308
"Pittston, PA",7739
"Plymouth, PA",5951
"Pringle, PA",979
"Shickshinny, PA",838
"Sugar Notch, PA",989
"Swoyersville, PA",5062
"Warrior Run, PA",584
"West Hazleton, PA",4594
"West Pittston, PA",4868
"West Wyoming, PA",2725
"White Haven, PA",1097
"Wilkes-Barre, PA",41498
"Wyoming, PA",3073
"Yatesville, PA",607
"Falls Creek, PA",1037
"Mount Vernon, NY",67292
"New Rochelle, NY",77062
"Peekskill, NY",23583
"Rye, NY",15720
"Branchville, NJ",841
"Newton, NJ",7997
"Ogdensburg, NJ",2410
"Stanhope, NJ",3610
"Sussex, NJ",2130
"Mogadore, OH",3853
"Akron, OH",199110
"Barberton, OH",26550
"Boston Heights, OH",1300
"Clinton, OH",1214
"Cuyahoga Falls, OH",49652
"Lakemore, OH",3068
"Macedonia, OH",11188
"Munroe Falls, OH",5012
"Northfield, OH",3677
"Norton, OH",12085
"Reminderville, OH",3404
"Silver Lake, OH",2519
"Stow, OH",34837
"Tallmadge, OH",17537
"Twinsburg, OH",18795
"Aurora, OH",15548
"Garrettsville, OH",2325
"Streetsboro, OH",16028
"Sugar Bush Knolls, OH",177
"Briar Creek, PA",660
"Bloomsburg, PA",14855
"Catawissa, PA",1552
"Centralia, PA",10
"Millville, PA",948
"Orangeville, PA",508
"Stillwater, PA",209
"Norwalk, OH",17012
"Willard, OH",6236
"Green Springs, OH",1368
"Fostoria, OH",13441
"Tiffin, OH",17963
"Bellefonte, PA",6187
"Centre Hall, PA",1265
"Howard, PA",720
"Milesburg, PA",1123
"Millheim, PA",904
"Philipsburg, PA",2770
"Port Matilda, PA",606
"Snow Shoe, PA",765
"State College, PA",42034
"Unionville, PA",291
"Bloomingdale, NJ",7656
"Pompton Lakes, NJ",11097
"Prospect Park, NJ",5865
"Ringwood, NJ",12228
"North Haledon, NJ",8417
"Passaic, NJ",69781
"Paterson, NJ",146199
"Totowa, NJ",10804
"Wanaque, NJ",11116
"Woodland Park, NJ",11819
"Kulpmont, PA",2924
"McEwensville, PA",279
"Marion Heights, PA",611
"Milton, PA",7042
"Mount Carmel, PA",5893
"Northumberland, PA",3804
"Riverside, PA",1932
"Shamokin, PA",7374
"Snydertown, PA",339
"Sunbury, PA",9905
"Turbotville, PA",705
"Watsontown, PA",2351
"Danville, PA",4699
"Washingtonville, PA",273
"Bruin, PA",524
"Butler, PA",13757
"Callery, PA",394
"Cherry Valley, PA",66
"Chicora, PA",1043
"Connoquenessing, PA",528
"East Butler, PA",732
"Eau Claire, PA",316
"Evans City, PA",1833
"Fairview, PA",198
"Harmony, PA",890
"Harrisville, PA",897
"Karns City, PA",209
"Mars, PA",1699
"Petrolia, PA",212
"Portersville, PA",235
"Prospect, PA",1169
"Saxonburg, PA",1525
"Slippery Rock, PA",3625
"Valencia, PA",551
"West Liberty, PA",343
"West Sunbury, PA",192
"Zelienople, PA",3812
